epoch,train_loss,train_acc,val_loss,val_acc
1,0.5670234360586619,0.7332649230957031,0.6285647468175739,0.66986083984375
2,0.5575478558894247,0.7792701721191406,0.6260585027048364,0.731292724609375
3,0.5520110082870815,0.7869720458984375,0.6040269241202623,0.732147216796875
4,0.5492977358517237,0.7888870239257812,0.6075410568155348,0.731781005859375
5,0.5481409574422287,0.7894554138183594,0.6042748671025038,0.732086181640625
6,0.545805029454641,0.7916488647460938,0.6013545399764553,0.733245849609375
7,0.5430772774125217,0.7933692932128906,0.601473557529971,0.744903564453125
8,0.5421554601343814,0.7940254211425781,0.6037095376523212,0.73797607421875
9,0.5417991767462809,0.794036865234375,0.6070060530910268,0.7393798828125
10,0.5411423969781026,0.795135498046875,0.603199909790419,0.738800048828125
11,0.5440073478821432,0.7934951782226562,0.5932487023528665,0.743988037109375
12,0.5420117281319108,0.7957534790039062,0.5989497626433149,0.7420654296875
13,0.542264139992767,0.796478271484375,0.5858722854172811,0.753143310546875
14,0.5375386077357689,0.7991523742675781,0.5884215803816915,0.754913330078125
15,0.5409781980270054,0.7946853637695312,0.6018092811573297,0.74560546875
16,0.5380195785837714,0.7983741760253906,0.5905329610686749,0.754180908203125
17,0.5349534995766589,0.8009452819824219,0.5938395031262189,0.750152587890625
18,0.5348396456829505,0.8008880615234375,0.5878739645704627,0.754119873046875
19,0.5358545612252783,0.7995643615722656,0.5938231870532036,0.751617431640625
20,0.5357805749663385,0.7997512817382812,0.5899904179386795,0.752105712890625
21,0.53795061398705,0.7989120483398438,0.587548297829926,0.76092529296875
22,0.5370549380895682,0.8001022338867188,0.5878079528920352,0.75970458984375
23,0.5365495379664935,0.8001022338867188,0.583156390930526,0.75921630859375
24,0.5362411180249183,0.80010986328125,0.5799354917835444,0.756805419921875
25,0.5364550206431886,0.8000984191894531,0.5868965588742867,0.758636474609375
26,0.5339553478261223,0.8021049499511719,0.5781159918988124,0.7645263671875
27,0.5341310572403017,0.8018341064453125,0.5835356890456751,0.758453369140625
28,0.53188159588899,0.8037986755371094,0.5793607633095235,0.7603759765625
29,0.5325573305162834,0.8028411865234375,0.5804289049701765,0.760986328125
30,0.5323524151899619,0.8029518127441406,0.5810598349198699,0.760650634765625
31,0.5360771134146489,0.801239013671875,0.5843208187725395,0.754486083984375
32,0.5337438565911725,0.8028297424316406,0.5722824609838426,0.768463134765625
